horizon_days,response_variable,shock_variable,proportion
12,overnight_rate,cpi_yoy,0.0002857045809671217
12,overnight_rate,usdcad,0.009654342340588415
12,us_treasury_10y,yield_spread_10y_2y,0.15970916337957916
12,us_treasury_10y,overnight_rate,0.007401521011794234
12,us_treasury_10y,us_treasury_10y,0.8318800066480712
12,us_treasury_10y,fed_funds_rate,0.0003706378116647965
12,us_treasury_10y,cpi_yoy,0.0002744886106573234
12,us_treasury_10y,usdcad,0.00036418253823321977
12,fed_funds_rate,yield_spread_10y_2y,0.0029272808309308714
12,fed_funds_rate,overnight_rate,0.12321018268527434
12,fed_funds_rate,us_treasury_10y,0.007566404219329889
12,fed_funds_rate,fed_funds_rate,0.8645778099017664
12,fed_funds_rate,cpi_yoy,0.0014076335972927642
12,fed_funds_rate,usdcad,0.00031068876540582953
12,cpi_yoy,yield_spread_10y_2y,0.0008252663037904596
12,cpi_yoy,overnight_rate,0.0016623948783857007
12,cpi_yoy,us_treasury_10y,0.0010089464963039419
12,cpi_yoy,fed_funds_rate,0.003585328408844891
12,cpi_yoy,cpi_yoy,0.9918547481677906
12,cpi_yoy,usdcad,0.001063315744884391
12,usdcad,yield_spread_10y_2y,0.0038973086266877546
12,usdcad,overnight_rate,0.02437700017383738
12,usdcad,us_treasury_10y,0.003664407246538745
12,usdcad,fed_funds_rate,0.005729823118794195
12,usdcad,cpi_yoy,0.003606000962940691
12,usdcad,usdcad,0.9587254598712013
13,yield_spread_10y_2y,yield_spread_10y_2y,0.9928724621080999
13,yield_spread_10y_2y,overnight_rate,0.0029613364004483964
13,yield_spread_10y_2y,us_treasury_10y,0.0014840806736325922
13,yield_spread_10y_2y,fed_funds_rate,0.0012155057721242207
13,yield_spread_10y_2y,cpi_yoy,0.0002675604594859282
13,yield_spread_10y_2y,usdcad,0.0011990545862090533
13,overnight_rate,yield_spread_10y_2y,0.020302292053918817
13,overnight_rate,overnight_rate,0.9522378090832508
13,overnight_rate,us_treasury_10y,0.012918918024786502
13,overnight_rate,fed_funds_rate,0.0036480128755703965
13,overnight_rate,cpi_yoy,0.00027969260725403287
13,overnight_rate,usdcad,0.010613275355219573
13,us_treasury_10y,yield_spread_10y_2y,0.1595483543797862
13,us_treasury_10y,overnight_rate,0.007540668621231417
13,us_treasury_10y,us_treasury_10y,0.8318809072301059
